time,open,high,low,close,volume,EMA_12,EMA_26,MACD,MACD_signal,MACD_hist
2024-03-06,28.45,31.29,28.35,31.29,1944322,27.466190200396984,26.579455691193107,0.8867345092038761,0.4425427960077377,0.44419171319613837
2024-03-07,31.39,32.96,31.39,32.37,1395458,28.220622477258985,27.008384899252878,1.212237578006107,0.5964817524074115,0.6157558255986955
2024-03-08,32.37,33.06,31.29,31.69,1001293,28.754372865372986,27.355171203011924,1.3992016623610617,0.7570257343981416,0.6421759279629201
2024-03-11,31.69,32.37,31.2,31.59,723661,29.190623193777142,27.66886222501104,1.5217609687661025,0.9099727812717338,0.6117881874943687
2024-03-12,31.59,32.57,31.39,31.88,878097,29.60437347165758,27.980798356491704,1.6235751151658775,1.0526932480505624,0.5708818671153151
2024-03-13,32.08,33.84,31.49,33.35,1629973,30.180623706787184,28.37851699675158,1.8021067100356056,1.202575940447571,0.5995307695880345
2024-03-14,33.65,33.65,31.98,32.57,880040,30.548220059589156,28.688997219214425,1.8592228403747306,1.333905320433003,0.5253175199417277
2024-03-15,32.57,32.57,31.1,32.08,1053769,30.783878511960054,28.940182610383726,1.8436959015763286,1.435863436661668,0.4078324649146605
2024-03-18,32.08,32.18,29.23,30.12,1275108,30.68174335627389,29.027576491096042,1.6541668651778494,1.4795241223649043,0.17464274281294512
2024-03-19,30.21,31.2,30.12,30.71,436422,30.686090532231756,29.152200454718557,1.533890077513199,1.4903973133945632,0.043492764118635785
2024-03-20,30.71,31.29,30.21,31.29,486483,30.778999681119178,29.310555976591257,1.468443704527921,1.4860065916212348,-0.017562887093313773
2024-03-21,31.59,32.57,31.2,31.78,648261,30.932999730177766,29.493477756103015,1.4395219740747507,1.476709668111938,-0.03718769403718736
2024-03-22,31.78,32.86,31.29,31.98,747181,31.094076694765803,29.677664588984275,1.4164121057815287,1.4646501556458562,-0.04823804986432756
2024-03-25,32.08,32.18,30.8,31.59,600220,31.170372587878756,29.819319063874328,1.3510535240044277,1.4419308293175706,-0.09087730531314286
2024-03-26,31.39,31.59,30.8,31.59,520138,31.234930651282024,29.950480614698453,1.2844500365835714,1.4104346707707707,-0.1259846341871993
2024-03-27,31.59,32.08,30.9,31.39,400350,31.258787474161714,30.057111680276346,1.201675793885368,1.36868289539369,-0.1670071015083221
2024-03-28,31.39,33.84,31.39,33.26,1587624,31.56666632429068,30.29436266692254,1.2723036573681377,1.3494070477885796,-0.0771033904204419
2024-03-29,33.35,33.65,32.67,32.86,461871,31.765640735938266,30.48440987678013,1.2812308591581356,1.3357718100624907,-0.05454095090435507
2024-04-01,32.86,32.96,31.98,32.47,789288,31.87400369964007,30.63149062664827,1.2425130729918017,1.3171200626483528,-0.0746069896565511
2024-04-02,32.47,32.86,31.98,32.77,743102,32.01184928431083,30.789898728378027,1.2219505559327999,1.2980861613052421,-0.07613560537244224
2024-04-03,32.77,36.0,32.77,36.0,1918628,32.625410932878395,31.17583215590558,1.449578776972814,1.3283846844387566,0.12119409253405733
2024-04-04,36.3,38.95,35.32,37.18,1140514,33.326116943204795,31.620585329542205,1.7055316136625898,1.4038140702835231,0.30171754337906664
2024-04-05,37.18,38.65,33.94,36.3,909102,33.78363741348098,31.967208638465003,1.8164287750159787,1.4863370112300143,0.3300917637859644
2024-04-08,36.2,36.59,33.55,34.24,1346653,33.85384704217621,32.135563554134265,1.7182834880419477,1.532726306592401,0.1855571814495467
2024-04-09,34.24,37.57,34.24,37.28,998094,34.380947497226025,32.51663292049469,1.8643145767313314,1.5990439606201872,0.2652706161111442
2024-04-10,37.28,37.38,36.49,36.69,481668,34.73618634380664,32.825771222680274,1.9104151211263627,1.6613181927214222,0.24909692840494047
2024-04-11,36.49,38.16,35.81,37.67,907591,35.187542290913306,33.18460298396322,2.00293930695009,1.7296424155671557,0.2732968913829341
2024-04-12,37.96,38.36,37.28,37.87,676548,35.60022809231126,33.531669429595574,2.068558662715688,1.797425664996862,0.27113299771882593
2024-04-15,37.77,37.87,34.14,34.14,1497455,35.37557761657107,33.57673095332923,1.7988466632418394,1.7977098646458576,0.0011367985959818139
2024-04-16,33.84,34.24,32.57,34.14,1309457,35.18548875248322,33.61845458641596,1.567034166067259,1.7515747249301379,-0.1845405588628788
2024-04-17,34.14,34.63,31.98,31.98,767620,34.69233663671657,33.49708758001478,1.1952490567017904,1.6403095912844683,-0.4450605345826779
2024-04-19,32.08,32.86,30.12,31.78,1227693,34.24428484645248,33.36989590742109,0.874388939031391,1.4871254608338529,-0.6127365218024619
2024-04-22,32.37,34.92,32.37,34.92,1483254,34.34824102392133,33.48471843279731,0.8635225911240241,1.3624048868918872,-0.49888229576786314
2024-04-23,35.02,35.51,33.26,33.84,665209,34.2700500971642,33.51103558592343,0.7590145112407711,1.241726811761664,-0.48271230052089287
2024-04-24,33.94,36.0,33.94,35.61,876148,34.476196236062016,33.66651443141058,0.8096818046514329,1.1553178103396178,-0.34563600568818487
2024-04-25,34.83,35.61,34.34,35.22,529005,34.59062758436017,33.78158743649128,0.8090401478688918,1.0860622778454725,-0.2770221299765807
2024-04-26,34.43,35.71,34.14,34.73,453669,34.6120694944586,33.85184021897341,0.7602292754851945,1.0208956773734168,-0.2606664018882223
2024-05-02,34.73,34.73,32.37,33.35,683710,34.41790495684959,33.814666869419824,0.6032380874297658,0.9373641593846866,-0.33412607195492083
2024-05-03,33.84,34.43,33.35,33.35,602097,34.25361188656504,33.78024710131465,0.4733647852503893,0.8445642845578272,-0.3711994993074379
2024-05-06,33.84,36.69,33.84,36.0,990118,34.52228698093965,33.94467324195801,0.5776137389816398,0.7911741754425897,-0.2135604364609499
2024-05-07,35.9,36.69,35.41,36.69,828907,34.85578129156432,34.14803077959075,0.7077505119735719,0.7744894427487862,-0.06673893077521431
2024-05-08,36.79,37.67,36.0,37.38,1011082,35.244122631323656,34.38743590702847,0.8566867242951872,0.7909288990580664,0.06575782523712081
2024-05-09,37.28,37.47,36.1,36.4,807656,35.421949918812324,34.53651472873006,0.8854351900822621,0.8098301572629055,0.0756050328193566
2024-05-10,36.49,39.24,35.61,39.24,1072266,36.009342238995046,34.88492104512043,1.1244211938746176,0.872748364585248,0.2516728292893696
2024-05-13,39.34,39.44,37.96,38.26,1166798,36.355597279149656,35.13492689363002,1.2206703855196324,0.9423327687721248,0.27833761674750757
2024-05-14,38.26,38.65,37.28,37.47,1096812,36.52704385158817,35.30789527187965,1.2191485797085164,0.9976959309594031,0.2214526487491133
2024-05-15,37.47,40.02,37.47,39.34,1186927,36.95980633595922,35.60656969618486,1.3532366397743587,1.0688040727223942,0.2844325670519645
2024-05-16,39.34,40.32,38.65,38.75,902960,37.23522074581165,35.83941638535635,1.3958043604553012,1.1342041302689756,0.2616002301863256
2024-05-17,38.75,39.73,38.65,39.24,903051,37.54364832337909,36.091311467922544,1.4523368554565437,1.1978306753064891,0.25450618015005455
2024-05-20,39.63,39.63,38.75,38.95,1130182,37.76001011978231,36.30306617400235,1.4569439457799547,1.2496533294011822,0.20729061637877244
2024-05-21,38.85,41.4,38.65,41.3,1572736,38.304623947508105,36.67320942037255,1.6314145271355542,1.3260055689480565,0.3054089581874977
2024-05-22,41.5,42.67,41.2,41.89,1745921,38.856220263276086,37.05963835219681,1.7965819110792793,1.420120837374301,0.3764610737049783
2024-05-23,41.69,45.71,40.91,45.52,1330663,39.881417145849,37.68633180758964,2.1950853382593607,1.575113737551313,0.6199716007080478
2024-05-24,45.52,46.5,41.4,43.36,1230537,40.41658373879531,38.106603525545964,2.3099802132493465,1.7220870326909197,0.5878931805584269
2024-05-27,43.36,44.14,42.77,43.36,764172,40.86941700974988,38.49574400513515,2.37367300461473,1.8524042270756818,0.5212687775390483
2024-05-28,43.95,46.01,43.26,45.42,1154590,41.56950670055759,39.00865185660662,2.5608548439509704,1.9940943504507396,0.5667604935002308
2024-05-29,45.32,45.52,43.75,44.54,896392,42.02650566970257,39.41838134870983,2.6081243209927436,2.1169003445591406,0.49122397643360305
2024-05-30,44.05,45.32,41.69,45.13,1415819,42.50396633590218,39.84146421176836,2.662502124133816,2.2260207004740757,0.4364814236597403
2024-05-31,45.22,45.91,44.14,45.13,639292,42.90797151499415,40.23320760348923,2.6747639115049253,2.3157693426802455,0.35899456882467984
2024-06-03,45.13,46.6,45.13,45.42,755998,43.29443743576428,40.61741444767521,2.677022988089071,2.3880200717620106,0.28900291632706043
2024-06-04,45.42,45.91,44.93,44.93,816579,43.5460624456467,40.936865229328895,2.6091972163178028,2.432255500673169,0.17694171564463357
2024-06-05,44.93,47.28,44.73,45.62,1068986,43.86512976170105,41.28376410123046,2.5813656604705884,2.462077532632653,0.11928812783793541
2024-06-06,45.81,46.5,45.42,46.11,565917,44.21049441374704,41.64126305669487,2.5692313570521748,2.483508297516557,0.08572305953561754
2024-06-07,46.11,46.4,45.13,45.91,483026,44.47195681163211,41.95746579323599,2.5144910183961215,2.48970484169247,0.024786176703651464
